Elève 1,Elève 2,Note attribué à l'élève 2 par l'élève 1,Note attribué à l'élève 1 par l'élève 2,Notes cumulées,Ecart au carré
21603442,21808759,5,5,10,0
21806215,21610133,5,5,10,0
21810711,21805685,5,5,10,0
21809563,21604793,5,5,10,0
21404520,21507193,5,5,10,0
21705939,21602915,5,5,10,0
21600393,21809534,5,5,10,0
21605166,21809652,5,5,10,0
21806012,21805904,5,5,10,0
21500042,21808760,5,5,10,0
21912400,21604819,5,5,10,0
21620656,21603678,5,5,10,0
21807592,21806433,5,5,10,0
21608048,21610313,5,5,10,0
21711196,21914065,5,5,10,0
21806466,21610192,5,4,9,1
21711215,21808550,4,5,9,1
21809669,21600546,5,4,9,1
21805825,21607721,5,4,9,1
21400673,21807378,4,4,8,0
21605975,20133421,4,4,8,0
